handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_49586c37-b0a8-5c3b-32f3-ee9b82059ad1,Product,**Vitreo Polymeric Shield,"<p><strong><span style=""color:#cb2026;"">**Will&nbsp;not always have it in stock so lead time to ship could be 5-7 days</span></strong></p><div><p>&nbsp;</p><p>Vitreo is a slick, durable, polymeric, easy on and easy off polish and sealant. Vitreo combines the latest in polymer technology to bring you the most advanced surface coating on the market today. Vitreo vitrifies painted and non painted surfaces protecting them from the damaging UV rays of the sun, acid rain and other air and water borne contaminants. Vitreo’s cleaning action and vitrification process is safe when used on today’s clear coats, fiberglass, chrome, polished aluminum, stripes, mirrors and much more. Will not stain rubber, vinyl bumpers or moldings. Use Vitreo on autos, trucks, boats, rv’s and aircraft to achieve maximum protection. 32 oz.<br><br>Weight:&nbsp;3 lbs<br>Dimensions: 4 × 4 × 11 in<br>Size: 32 OZ</p></div>",069f35_6828b577dd77494d8907753dc5aa7258~mv2.jpeg,,,,38.95,,true,PERCENT,0.0,6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTechniq
product_ad9b59c5-d857-baff-663a-1d44996adfe1,Product,GTechniq W7 Tar and Glue Remover 500ML Fast Free Shipping,"<p><span style=""color:#000000;""><strong>GTechniq W7 Tar and Glue Remover</strong></span></p><p>&nbsp;</p><p><span style=""color:#000000;""><strong>The ideal maintenance product for GTechniq paint coatings!</strong><br><br>GTechniq W7 Tar and Glue Remover is a full strength, solvent based tar and glue remover designed to make quick work of tar spots that appear on your paint. GTechniq W7 Tar and Glue Remover is compatible with GTechniq EXO, C1, and Crystal Serum and will not harm your coating during tar and glue removal. In fact, GTechniq W7 Tar and Glue Remover was designed as a maintenance product for just those coatings!<br><br>Coatings are designed to protect your paint fully – this means it will repel dirt and dust, keep water spots from forming, and block out UVA and UVB rays.&nbsp;GTechniq paint coatings also include a very strong anti-adhesion function, but tar spots are a hazard of every day driving and the appropriate cleaner is necessary for removal.&nbsp;GTechniq W7 Tar and Glue Removal was designed to work with, rather than against, GTechniq paint coatings and will remove these spots without harm to the surface.<br><br>GTechniq W7 Tar and Glue Removal can also be used for the removal of decal-glue – the sticky stuff that holds the decorative and manufacturer decals on your paint.&nbsp;If the area around the decal is already coated with a GTechniq coating, GTechniq W7 Tar and Glue Removal will not harm it!&nbsp;GTechniq W7 Tar and Glue Remover ensures your coatings and paint sealants stay in perfect condition – even when contact with tar and glue occurs!<br><br><strong>Directions for use:</strong></span></p><ul>	<li><span style=""color:#000000;"">Spray GTechniq W7 Tar and Glue Remover directly onto the soiled area and allow to dwell for approximately 5-10 minutes.</span></li>	<li><span style=""color:#000000;"">Rinse the area and inspect to ensure that all contamination is gone. If not, repeat the first step again.</span></li>	<li><strong><span style=""color:#000000;"">Do not spray the product onto black plastic trim, rubber, vinyl, or other trim parts. If overspray accidentally gets onto these parts, remove immediately with your wash solution.</span></strong></li></ul><p><span style=""color:#000000;"">500 ml</span></p>",088a11_c1cf3bb0a25c437e9a730941bc9fcb21~mv2.jpeg,GTechniq,W7,,24.75,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTechniq
product_ab732f66-1c63-6b13-14da-e63c5f2d11c2,Product,GTechniq W8 Bug Remover W8 500ml Fast Free Shipping,"<p><span style=""color:#000000;""><strong>Gtechniq W8 Bug Remover 500ML</strong></span></p><div>&nbsp;</div><p><span style=""color:#000000;"">Bug splatter is one of the hardest to remove contaminants.&nbsp; W8 Bug Remover is a 100% biodegradable, pH neutral formula. It makes light work of removing bug splatter without relying on aggressive caustic ingredients.&nbsp;</span></p><p>&nbsp;</p><p><span style=""color:#000000;"">Unlike traditional bug removers, W8 will not affect the performance of any of Gtechniq coatings, sealants or waxes.</span></p><div>&nbsp;<ul>	<li>	<div><span style=""color:#000000;"">Removes bug spatter with ease</span></div>	</li>	<li>	<div><span style=""color:#000000;"">Does not damage wax or coatings</span></div>	</li>	<li>	<div><span style=""color:#000000;"">100% biodegradable &amp; pH neutral</span></div>	</li></ul></div><div>&nbsp;</div><div><span style=""color:#000000;""><strong>Application:</strong></span></div><div>&nbsp;</div><div><ul>	<li>	<div><span style=""color:#000000;"">Store in a cool dry place out of the reach of children</span></div>	</li>	<li>	<div><span style=""color:#000000;"">Spray W8 onto a bug spatter and allow to dwell for 5-10 minutes</span></div>	</li>	<li>	<div><span style=""color:#000000;"">Rinse and repeat if necessary.&nbsp; In extreme cases agitate the surface with a MF1 Zero Microfiber Buff Cloth</span></div>	</li></ul></div><div>&nbsp;</div><div><span style=""color:#000000;"">W8 is not only for you car or truck.&nbsp; Use it on your RV, boat, motorcycle, plane, ATV and more.</span></div><div>&nbsp;</div><div><span style=""color:#000000;"">500ml</span></div>",088a11_1820cf29325d4c218a5c7c1deba30f5a~mv2.jpg;088a11_a4d186d65b2a416f8a42542c3461f776~mv2.jpg,GTechniq,W8,,24.25,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTechniq
product_c7c96c76-ec27-d33f-be2b-3c9fce5f8572,Product,"GTechniq W1 G Wash 250ML, 500ML and 1 Liter Fast Free Shipping","<p><strong>GTechniq G-Wash Choose Either 250ML, 500ML or 1 Liter&nbsp;</strong></p><p>&nbsp;</p><p><strong><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Wash Away Dirt Not Paint Protection!</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></strong></p><div><div><div><div><p><span style=""color:#000000;"">Gtechniq W1 G-Wash has been specifically formulated to work in harmony with Gtechniq’s range of protective coatings. This high foaming car wash breaks the bond between the dirt particles and your vehicle’s paintwork and lubricates particles, thereby enabling the safest possible removal of road film.</span></p><p><span style=""color:#000000;"">Gtechniq W1 G-Wash should be used as a maintenance auto shampoo. While highly effective, it is safe on all auto surfaces and will not strip waxes,&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; sealants, or coatings.</span></p><p><span style=""color:#000000;"">Used in conjunction with Gtechniq’s coatings, G-Wash will ensure maximum gloss retention.</span></p><p><span style=""color:#000000;"">Directions:</span></p><p><span style=""color:#000000;"">Prior to washing, remove loose dirt and contaminants from your vehicle by rinsing with a hose or jet wash.<br><br>For light dirt, use 2 caps per bucket and 4 caps for heavy dirt.<br><br>Always begin washing the upper surfaces and work your way down, rinsing your wash mitt in a separate bucket of water as you go to release dirt. Then replenish your mitt in a second bucket containing your dilution of water and G-Wash. Brake dust is highly abrasive so ideally use another mitt for cleaning your wheels. Ensure that you never press hard to remove dirt (for stubborn dirt, allow to soak for several minutes) and always rinse your car thoroughly to remove all soap residues. Never apply detergents directly to bodywork or your sponge.<br><br>Gently dry your car with a GTechniq MF4 Drying Towel Available From My eBay Store:&nbsp; E-Zee Wax Products.</span></p><br><span style=""color:#000000;"">Choose From 250ML, 500ML or 1 Liter&nbsp;</span></div></div></div></div>",088a11_a7a7f49c70a44e0a8736094907e978ef~mv2.jpg,GTechniq,,,15.95,,true,PERCENT,0.0,0,0.0,Size,DROP_DOWN,250ML;500ML;1 Liter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTechniq
product_c7c96c76-ec27-d33f-be2b-3c9fce5f8572,Variant,,,,,W1,,,0.0,true,,,12,0.0,,,250ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c7c96c76-ec27-d33f-be2b-3c9fce5f8572,Variant,,,,,,,,13.0,true,,,6,0.0,,,500ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c7c96c76-ec27-d33f-be2b-3c9fce5f8572,Variant,,,,,,,,29.0,true,,,5,0.0,,,1 Liter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a2e7f906-bd63-5d2e-2f86-2be296c95881,Product,Gtechniq Marine Rinse-On Ceramic 500ML,"<p><strong><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>GTechniq Marine Rinse On Ceramic&nbsp;</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></strong></p><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><strong><span><span><span><span><span><span><span><span>Rinse On, Rinse Off!</span></span></span></span></span></span></span></span></strong><br><br><span><span><span><span><span><span><span><span><span>GTechniq Marine Rinse On Ceramic is the fast and simple way to protect your boat’s glossy surfaces. With it’s water repelling capabilities, GTechniq Marine Rinse On Ceramic can easily be used to quickly wash your boat using a hose on protection.</span></span></span></span></span></span></span></span></span><br><br><span><span><span>When working on a boat, you don’t always the time, space or energy to wash the normal way with a bucket, sponge and soapy product. Sometimes you need to be in out with just one product or tool.</span></span></span><span><span><span><span><span><span><span><span><span>&nbsp;With GTechniq Marine Rinse On Ceramic, as long as you have a hose, you are ready to go!</span></span></span></span></span></span></span></span></span><br><br><span><span><span>GTechniq Marine Rinse On Ceramic is optically clear and non-yellowing, making sure that no matter what your surface stays glossy.&nbsp;</span></span></span><span><span><span><span><span><span><span><span><span>Plus, GTechniq Marine Rinse On Ceramic is UV-repelling, so that even if your boat is out in the hot sun all day, your surface will remain protected.</span></span></span></span></span></span></span></span></span><span><span><span>&nbsp;This is because the coating crosslinks to the any surface, including gelcoat, topcoat, glass, metal, ceramic and plexiglass.</span></span></span><br><br><span><span><span>This product is also water repelling! You won’t have to worry about water sticking to your boat’s surfaces, causing ugly water marks.&nbsp; GTechniq Marine Rinse On Ceramic can last up to three months.&nbsp;</span></span></span><span><span><span><span><span><span><span><span><span>You can use GTechniq Marine Rinse On Ceramic during every one of your wash downs.</span></span></span></span></span></span></span></span></span><br><br><span><span><span>GTechniq Marine Rinse On Ceramic is used in tandem with a hose. To use:&nbsp; Insert the hose attachment, connect hose and thoroughly rinse down all surfaces. Next turn the knob forward to introduce the coating into the water feed. Apply to an area measuring no more than 10 feet x 10 feet (3M x 3M).Once all surfaces have been fully coated you can turn the knob back off and switch with normal water. Once fully washed, you can dry with GTechniq M1 or MF4 Microfiber Towels.</span></span></span>&nbsp;<br><br><strong><span><span><span><span><span><span><span><span><span>DIRECTIONS:</span></span></span></span></span></span></span></span></span></strong><br><span><span><span>-Insert hose attachment, connect hose and then thoroughly rinse down all surfaces.</span></span></span><br><span><span><span>-Turn the forward knob to introduce the coating into the water feed.</span></span></span><br><span><span><span>-Apply to an area measuring no more than 10ft x 10ft (3m x 3m).</span></span></span><br><span><span><span>-Once all surfaces have been fully coated, turn the forward knob back to its original position and rinse down all surfaces thoroughly.</span></span></span><br><span><span><span>-When rinsed, dry with a MF1 or MF4 Gtechniq Microfiber Drying Towel.</span></span></span><br><br><strong><span><span><span>500 ML</span></span></span></strong></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p>",088a11_7596e9fbb9704172aaeef791a5ff4d37~mv2.png;088a11_7a29618a66a54f3ead916eaee8dd629a~mv2.jpg,GTechniq,Marine Rinse On,,28.95,,true,PERCENT,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTechniq
product_1bd75939-3c35-779b-b358-5ce7b6c155ef,Product,Gtechniq - G6 Perfect Glass - Cleans Hard But Does Not Smear 500ML,"<p><strong>Gtechniq G6 Perfect Glass 500ML</strong></p><div>&nbsp;</div><div><span><span><span><span><span><span>The Gtechniq G6 Perfect Glass allows you to achieve that streak free finish we all strive for when cleaning our glass surfaces. Contamination naturally accumulates on the interior glass faster than you may think. Dirt and grime can stick to the micropores of your glass and once it bonds to the glass, this contamination can be a pain to remove. With G6, Gtechniq skipped any ingredients that could cause smearing or hazing during the cleaning process (i.e. fragrance, cheap recovered solvents, etc.). The quality cleaning agents will instead, encapsulate nasty dirt and grime buildups and lubricate the surface, allowing you to safely and easily remove contamination. On top of those streak-free cleaning features, G6 also creates a positive charge on the glass, making it antistatic. This helps the product repel dust, keeping your glass cleaning less frequent. If you are looking to clean your glass surfaces, grab a bottle of the Gtechniq G6 Perfect Glass!</span></span></span></span></span></span></div><div>&nbsp;</div><div><strong><span><span><span><span><span><span>Description:</span></span></span></span></span></span></strong></div><div><ul>	<li><span><span><span>Strong cleaning function</span></span></span></li>	<li><span><span><span>Crystal-clear finish</span></span></span></li>	<li><span><span><span>Anti-static effect</span></span></span></li></ul><br><span><span><span><span><span><span>G6 Perfect Glass is a pure formula, focused on function. All ingredients that can cause smearing have been discarded, like fragrance and cheap solvents, to produce a high-performance, powerful cleaning product.</span></span></span></span><br><br><strong>Directions:</strong></span></span></div><div><ul>	<li>Shake well before use</li>	<li>Use out of direct sunlight</li>	<li>Spray directly onto an MF5 Power Glass Cloth and wipe the glass</li>	<li>Remove any residue with another MF5 or MF1 ZeroR Microfibre Buff Cloth</li>	<li>Store in a cool, dry place</li></ul><span><span><span><span>G6 creates a positive charge on the glass helping to repel dust.</span></span></span></span></div><p>&nbsp;</p>",088a11_5c706455a7484ae89eada1cf8a445b3a~mv2.jpg;088a11_b8b6808000614223921cbb480765b641~mv2.jpg;088a11_6a6568cbfe684c1ab4cf684bdecb8372~mv2.jpg;088a11_bcf20d61336e4bfe874b966c3e7afb8c~mv2.jpg;088a11_438f44d808474f39be9dbc46da479dd2~mv2.jpg,GTechniq,G6,,24.95,,true,PERCENT,0.0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTechniq
product_99e4df90-34a1-8aae-7009-e0c49fe67d12,Product,Buff and Shine 1 Inch URO Rotary Backing Plate# URO158,"<p><strong><span><span>PRODUCT INFORMATION:</span></span></strong></p><p>&nbsp;</p><p><span><span><span><span><span><span><span><span><span><span>The 1-Inch Buff and Shine URO Rotary Backing Plate is designed for pads between 1 and 2 inches and has 5/8 x 11 threads. This backing plate is the hook and loop style, making it compatible with most pads. This sturdy backing pad with a foam insert creates a flexible surface. You can use this backing plate with any compatible pads,&nbsp;but the 1-inch Buff and Shine Uro-Tec Foam Pads and the 1 or 2 inch Buff and Shine Uro-Fiber Pads work best.</span></span></span></span></span></span></span></span></span></span></p><p>&nbsp;</p>",088a11_010687c712e94c6d9bf13176b19ebe52~mv2.jpg;088a11_e369e439a093483aa8cb8301240a2e99~mv2.jpg;088a11_2fe0da4601ec48e4a78500ebd6f3b49c~mv2.jpg,1 INCH Backing Plate,URO158,,14.75,,true,PERCENT,0.0,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff and Shine
